ticker,company_name,sector,industry,fiscal_year,currency,unit,revenue,ebitda,ebit,net_income,eps,total_assets,total_equity,total_debt,cash,net_debt,operating_cash_flow,capex,free_cash_flow,dividend_per_share,equity_ratio_pct,core_completeness_score,full_completeness_score,extraction_status,source_file,notes
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2025,CHF,CHF_millions,77.355,139.76,138.791,115.105,11.38,2119.581,1207.69,780.0,31.882,748.118,20.112,108.627,-88.515,3.7,56.98,7/7,12/13,GO,HIAG_2025.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2015,CHF,CHF_millions,11678.0,4098.0,2012.0,1362.0,26.27,21149.0,5242.0,8593.0,324.0,8269.0,3867.0,,1306.0,22.0,24.79,7/7,12/13,GO,SCMN_2015.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2016,CHF,CHF_millions,11643.0,4293.0,,1604.0,30.97,21454.0,6522.0,8496.0,329.0,8167.0,3862.0,,1306.0,22.0,30.4,6/7,10/13,GO,SCMN_2016.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2017,CHF,CHF_millions,11662.0,4295.0,2131.0,1568.0,30.31,22058.0,7645.0,8286.0,525.0,7761.0,3862.0,,1715.0,22.0,34.66,7/7,12/13,GO,SCMN_2017.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2018,CHF,CHF_millions,11714.0,4213.0,,1521.0,29.48,22058.0,8208.0,8167.0,-474.0,8641.0,3565.0,-2404.0,1318.0,22.0,37.21,6/7,11/13,GO,SCMN_2018.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2019,CHF,CHF_millions,11453.0,4358.0,1910.0,1669.0,,22586.0,8875.0,7460.0,-328.0,7788.0,3981.0,2438.0,1543.0,22.0,39.29,7/7,11/13,GO,SCMN_2019.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2020,CHF,CHF_millions,11100.0,4382.0,1947.0,1528.0,29.54,24262.0,9491.0,7042.0,-340.0,7382.0,4069.0,2229.0,1840.0,22.0,39.12,7/7,12/13,GO,SCMN_2020.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2021,CHF,CHF_millions,11183.0,4478.0,2066.0,1833.0,35.37,,10813.0,6445.0,-401.0,6846.0,4044.0,2286.0,1758.0,22.0,,6/7,11/13,GO,SCMN_2021.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2022,CHF,CHF_millions,11112.0,4406.0,2040.0,1603.0,30.93,,11171.0,6002.0,-121.0,6123.0,3876.0,2309.0,1349.0,22.0,,6/7,12/13,GO,SCMN_2022.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2023,CHF,CHF_millions,11072.0,4622.0,2205.0,1711.0,,24750.0,11622.0,7580.0,-148.0,7728.0,4029.0,2292.0,1480.0,22.0,46.96,7/7,12/13,GO,SCMN_2023.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2024,CHF,CHF_millions,11036.0,4355.0,1951.0,1541.0,29.77,,,17535.0,-1523.0,19058.0,3977.0,2312.0,1437.0,22.0,,5/7,11/13,REVIEW,SCMN_2024.pdf,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2025,CHF,CHF_millions,15048.0,6617.0,1925.0,1270.0,,36023.0,12238.0,16718.0,258.0,16460.0,3977.0,-1692.0,2285.0,22.0,33.97,7/7,11/13,GO,SCMN_2025.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2015,CHF,CHF_millions,5489.2,837.3,673.3,465.1,30.23,4923.8,2552.1,948.3,1074.4,-126.10000000000014,585.8,-135.6,379.5,13.0,51.83,7/7,13/13,GO,SIKA.SW_2015.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2016,CHF,CHF_millions,5747.7,965.7,795.3,566.6,36.97,5099.2,2947.7,698.7,1155.0,-456.29999999999995,735.7,-149.5,563.0,17.0,57.81,7/7,13/13,GO,SIKA.SW_2016.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2017,CHF,CHF_millions,6248.3,1068.5,896.3,649.0,42.25,5792.2,3411.1,752.0,1037.9,-285.9000000000001,651.9,-158.5,173.7,18.5,58.89,7/7,13/13,GO,SIKA.SW_2017.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2018,CHF,CHF_millions,7085.4,1149.9,945.9,687.1,4.69,6382.2,1675.4,3032.5,914.0,2118.5,744.0,-233.4,38.8,2.05,26.25,7/7,13/13,GO,SIKA.SW_2018.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2019,CHF,CHF_millions,8109.2,1387.6,1055.1,758.5,5.3,9945.2,3161.2,4412.9,995.1,3417.7999999999997,1213.9,-179.7,-717.0,2.3,31.79,7/7,13/13,GO,SIKA.SW_2019.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2020,CHF,CHF_millions,7877.5,1497.6,1130.5,825.1,5.82,9794.0,3288.0,4186.6,1318.7,2867.9000000000005,1373.4,-120.1,1120.3,2.5,33.57,7/7,13/13,GO,SIKA.SW_2020.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2021,CHF,CHF_millions,9252.3,1758.0,1391.4,1048.5,7.39,10699.9,4395.9,3728.8,1175.0,2553.8,1064.1,-157.3,594.9,2.9,41.08,7/7,13/13,GO,SIKA.SW_2021.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2022,CHF,CHF_millions,10491.8,1964.2,1579.7,1162.5,7.57,11319.2,4967.1,3937.2,1873.3,2063.8999999999996,1099.8,-238.0,930.8,3.2,43.88,7/7,13/13,GO,SIKA.SW_2022.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2023,CHF,CHF_millions,11238.6,2044.7,1549.1,1062.6,6.82,15050.7,5933.2,5949.9,643.9,5306.0,1645.4,-256.8,-1870.1,3.3,39.42,7/7,13/13,GO,SIKA.SW_2023.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2024,CHF,CHF_millions,11763.1,2269.5,1713.9,1247.6,7.76,15977.2,7046.8,5762.2,707.5,5054.7,1742.8,-331.1,1137.7,3.6,44.11,7/7,13/13,GO,SIKA.SW_2024.pdf,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2025,CHF,CHF_millions,11201.3,2064.7,1493.2,1045.3,6.51,15148.3,6666.7,5549.2,801.8,4747.4,1707.9,-348.1,1156.0,3.7,44.01,7/7,13/13,GO,SIKA.SW_2025.pdf,
